"cod_tema";"cod_editor"
"0";"0"
"0";"1"
"0";"1008"
"0";"1014"
"0";"102"
"0";"1058"
"0";"1061"
"0";"1062"
"0";"1069"
"0";"107"
"0";"1098"
"0";"1117"
"0";"1118"
"0";"115"
"0";"116"
"0";"1160"
"0";"119"
"0";"120"
"0";"122"
"0";"1233"
"0";"1246"
"0";"127"
"0";"132"
"0";"133"
"0";"1333"
"0";"1350"
"0";"1353"
"0";"1358"
"0";"1373"
"0";"1401"
"0";"1405"
"0";"141"
"0";"1412"
"0";"142"
"0";"1422"
"0";"143"
"0";"145"
"0";"1458"
"0";"1470"
"0";"1473"
"0";"1488"
"0";"150"
"0";"1505"
"0";"1511"
"0";"1520"
"0";"1523"
"0";"1525"
"0";"154"
"0";"1546"
"0";"156"
"0";"1568"
"0";"1581"
"0";"1583"
"0";"1610"
"0";"1635"
"0";"1637"
"0";"1642"
"0";"1644"
"0";"165"
"0";"1665"
"0";"1666"
"0";"1683"
"0";"1701"
"0";"1704"
"0";"1728"
"0";"1731"
"0";"1746"
"0";"1747"
"0";"1748"
"0";"175"
"0";"1751"
"0";"1753"
"0";"1772"
"0";"1776"
"0";"1792"
"0";"1799"
"0";"1801"
"0";"1809"
"0";"183"
"0";"1840"
"0";"185"
"0";"1866"
"0";"1868"
"0";"1873"
"0";"1876"
"0";"1889"
"0";"1890"
"0";"1891"
"0";"1898"
"0";"1912"
"0";"1913"
"0";"1932"
"0";"1967"
"0";"197"
"0";"1979"
"0";"198"
"0";"1986"
"0";"199"
"0";"2015"
"0";"2019"
"0";"2020"
"0";"2034"
"0";"2035"
"0";"2042"
"0";"2043"
"0";"2045"
"0";"2048"
"0";"2055"
"0";"2059"
"0";"210"
"0";"211"
"0";"215"
"0";"218"
"0";"2197"
"0";"2201"
"0";"2211"
"0";"22615"
"0";"2265"
"0";"2318"
"0";"2333"
"0";"2345"
"0";"2360"
"0";"2361"
"0";"2372"
"0";"2389"
"0";"239"
"0";"2397"
"0";"2448"
"0";"2471"
"0";"2486"
"0";"2497"
"0";"2516"
"0";"252"
"0";"253"
"0";"2576"
"0";"2580"
"0";"2601"
"0";"2602"
"0";"2611"
"0";"2619"
"0";"2627"
"0";"2671"
"0";"2677"
"0";"268"
"0";"2693"
"0";"2695"
"0";"27"
"0";"271"
"0";"272"
"0";"2720"
"0";"2739"
"0";"2747"
"0";"2753"
"0";"2777"
"0";"2779"
"0";"2782"
"0";"279"
"0";"2796"
"0";"2798"
"0";"2803"
"0";"2807"
"0";"2813"
"0";"2825"
"0";"2833"
"0";"2839"
"0";"2848"
"0";"2867"
"0";"2875"
"0";"2881"
"0";"2883"
"0";"2892"
"0";"29383"
"0";"29384"
"0";"29389"
"0";"29390"
"0";"29391"
"0";"29394"
"0";"29401"
"0";"29402"
"0";"29406"
"0";"29409"
"0";"29410"
"0";"29411"
"0";"29418"
"0";"29425"
"0";"29427"
"0";"29429"
"0";"29430"
"0";"29444"
"0";"29446"
"0";"29451"
"0";"29460"
"0";"29462"
"0";"29471"
"0";"29472"
"0";"29474"
"0";"29476"
"0";"29478"
"0";"29479"
"0";"29484"
"0";"29498"
"0";"29507"
"0";"29508"
"0";"29511"
"0";"29515"
"0";"29520"
"0";"29532"
"0";"29535"
"0";"29545"
"0";"29556"
"0";"29559"
"0";"29561"
"0";"29566"
"0";"29577"
"0";"29578"
"0";"29580"
"0";"29581"
"0";"29582"
"0";"29583"
"0";"29584"
"0";"29588"
"0";"29589"
"0";"29592"
"0";"29600"
"0";"29608"
"0";"29612"
"0";"29613"
"0";"29616"
"0";"29618"
"0";"29622"
"0";"29625"
"0";"29638"
"0";"29642"
"0";"29645"
"0";"29649"
"0";"29653"
"0";"29659"
"0";"29676"
"0";"29683"
"0";"29685"
"0";"29690"
"0";"29691"
"0";"29709"
"0";"29710"
"0";"29716"
"0";"29722"
"0";"29734"
"0";"29735"
"0";"2974"
"0";"29762"
"0";"29771"
"0";"29774"
"0";"29779"
"0";"29780"
"0";"29783"
"0";"29785"
"0";"29794"
"0";"29797"
"0";"29798"
"0";"29804"
"0";"29806"
"0";"29812"
"0";"29833"
"0";"29853"
"0";"29857"
"0";"2986"
"0";"29872"
"0";"29876"
"0";"29898"
"0";"29901"
"0";"29907"
"0";"29920"
"0";"29934"
"0";"29937"
"0";"29940"
"0";"29941"
"0";"29942"
"0";"29964"
