"codigo";"nivel";"descripcion"
1;"04";"IDIOMAS"
2;"0401";"ALEMAN"
3;"040101";"GRAMATICA"
4;"040102";"DICCIONARIOS INFANTILES"
5;"040103";"CURSOS INFANTILES Y JUVENILES"
6;"040104";"CURSOS PARA ADULTOS"
7;"040105";"CURSOS AUTODIDACTAS"
8;"040106";"CURSOS TÉCNICOS"
9;"040107";"CURSOS AVANZADOS"
10;"040108";"LECTURAS GRADUADAS"
11;"040109";"EJERCICIOS Y DICTADOS"
12;"040110";"LITERATURA"
13;"040111";"VOCABULARIO"
14;"040112";"DIDACTICA"
15;"040113";"EXÁMENES"
16;"040114";"CIVILIZACIÓN Y CULTURA"
17;"040115";"NEGOCIOS Y CORRESPONDENCIA"
18;"040116";"DICCIONARIOS MONOLINGÜES"
19;"040117";"DICCIONARIOS BILINGÜES"
20;"040118";"DICCIONARIOS TÉCNICOS"
21;"040119";"CONVERSACIÓN"
22;"040120";"MODISMOS"
23;"040121";"TRADUCCIONES"
24;"040122";"CURSOS INSTITUTOS ACADEMIAS"
25;"040123";"CURSOS ESCUELASDE IDIOMAS"
26;"040124";"LINGÜÍSTICA Y FONÉTICA"
27;"040125";"VERBOS"
28;"040126";"LECTURAS JUVENILES"
29;"040127";"GUIAS DE CONVERSACIÓN Y CD-ROM"
30;"040128";"COMPRENSIÓN"
31;"0403";"ARABE"
32;"040301";"CALIGRAFIA"
33;"040302";"DICCIONARIOS"
34;"040303";"DICCIONARIOS TECNICOS"
35;"040304";"EJERCICIOS"
36;"040305";"ESCRITURA"
37;"040306";"GRAMATICA"
38;"040307";"GUIAS DE CONVERSACION"
39;"040308";"LINGUISTICA"
40;"040309";"METODOS"
41;"040310";"METODOS BILINGUES"
42;"040311";"MONOGRAFIAS"
43;"040312";"TEXTOS BILINGUES"
44;"040313";"TRADUCCION"
45;"040314";"VOCABULARIO"
46;"0407";"BUBI"
47;"0408";"CATALAN"
48;"0409";"CHECHENO"
49;"0410";"CHECO"
50;"0413";"DANES"
51;"0414";"ESPAÑOL PARA EXTRANJEROS"
52;"041401";"ACTIVIDADES MANUALIDADES INFANTILES"
53;"041402";"AUDIOLIBROS"
54;"041403";"CD-ROM"
55;"041404";"COMENTARIO DE TEXTOS"
56;"041405";"COMPRENSION"
57;"041406";"CONVERSACION"
58;"041407";"CURSOS"
59;"041408";"CURSOS ADULTOS"
60;"041409";"CURSOS AUTODIDACTAS"
61;"041410";"CURSOS AVANZADOS"
62;"041411";"CURSOS INFANTILES JUVENILES"
63;"041412";"CURSOS TECNICOS"
64;"041413";"DICCIONARIOS"
65;"041414";"DICCIONARIOS BILINGUES"
66;"041415";"DICCIONARIOS INFANTILES"
67;"041416";"DICCIONARIOS TECNICOS"
68;"041417";"DICTADOS"
69;"041418";"DIDACTICA"
70;"041419";"DVD"
71;"041420";"EJERCICIOS"
72;"041421";"EXAMENES"
73;"041422";"FONETICA Y PRONUNCIACION"
74;"041423";"GRAMATICAS"
75;"041424";"GUIAS DE CONVERSACION"
76;"041425";"LECTURAS GRADUADAS ELEMENTAL"
77;"041426";"LECTURAS GRADUADAS INTERMEDIO"
78;"041427";"LECTURAS GRADUADAS NIVEL 1"
79;"041428";"LECTURAS GRADUADAS NIVEL 2"
80;"041429";"LECTURAS GRADUADAS NIVEL 3"
81;"041430";"LECTURAS GRADUADAS NIVEL 4"
82;"041431";"LECTURAS GRADUADAS NIVEL 5"
83;"041432";"LECTURAS GRADUADAS NIVEL 6"
84;"041433";"LECTURAS GRADUADAS SUPERIOR"
85;"041434";"LECTURAS INFANTILES Y JUVENILES"
86;"041435";"MODISMOS"
87;"041436";"NEGOCIOS Y CORRESPONDENCIA COMERCIAL"
88;"041437";"PROVERBIOS REFRANES ARGOT FRASES"
89;"041438";"REDACCION"
90;"041439";"TESTS"
91;"041440";"TRADUCCION"
92;"041441";"TRADUCIONES"
93;"041442";"VERBOS Y SUS EJERCICIOS"
94;"041443";"VOCABULARIO"
95;"041444";"LECTURAS GRADUADAS INFANTILES"
96;"0416";"EUSKERA"
97;"0417";"FRANCES"
98;"041701";"AUDIOLIBRO"
99;"041702";"CANCIONES"
100;"041703";"CD-ROM"
101;"041704";"CIENCIAS Y TECNICA"
102;"041705";"COMICS"
103;"041706";"COMPRENSION"
104;"041707";"CONVERSACION"
105;"041708";"CRITICA LITERARIA"
106;"041709";"CUENTOS"
107;"041710";"CULTURA CIVILIZACION E HISTORIA"
108;"041711";"CURSOS DE ADULTOS"
109;"041712";"CURSOS AUTODIDACTAS"
110;"041713";"CURSOS AVANZADOS"
111;"041714";"CURSOS BACHILLERATO"
112;"041715";"CURSOS BILINGUES"
113;"041716";"CURSOS INFANTILES Y JUVENILES"
114;"041717";"CURSOS INSTITUTOS Y ACADEMIAS"
115;"041718";"CURSOS PRIMARIA"
116;"041719";"CURSOS SECUNDARIA"
117;"041720";"CURSOS TECNICOS"
118;"041721";"DICCIONARIOS BILINGÜES"
119;"041722";"DICCIONARIOS ENCICLOPEDICOS"
120;"041723";"DICCIONARIOS INFANTILES Y JUVENILES"
121;"041724";"DICCIONARIOS MONOLINGÜES"
122;"041725";"DICCIONARIOS TECNICOS"
123;"041726";"DICTADOS"
124;"041727";"DIDACTICA Y METODOLOGIA"
125;"041728";"DVD"
126;"041729";"EJERCICIOS"
127;"041730";"EJERCICIOS INFANTILES"
128;"041731";"ENCICLOPEDIAS"
